nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
barceló valencia,colombia,,2,familia,excelente,espectacular todo! restaurante; servicio; habitación tamaño todooooo 10 de 10 volvería mil veces más,todo me gustó,10.0,2026-04-14,fabuloso
barceló valencia,españa,,1,pareja,mi referente para alojarme en valencia,,,9.0,2026-04-05,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,hotel funcional en lugar alejado,"habitaciones amplias, limpieza y ubicación",,9.0,2026-04-03,fabuloso
barceló valencia,españa,,1,pareja,solo perfecto!,el trato en recepción,el parking,10.0,2026-03-21,fabuloso
barceló valencia,españa,,2,pareja,fantástico,las vistas y el tamaño de la habitación.,"la calefacción central, sólo eso.",10.0,2026-03-20,fabuloso
barceló valencia,españa,,1,pareja,volvería,me encantó,todo súper bien,10.0,2026-03-17,fabuloso
barceló valencia,españa,,1,persona que viaja sola,muy bien,todo,nada,10.0,2026-03-16,fabuloso
barceló valencia,españa,,1,pareja,bastante aceptable,"nos encantó la habitación super espaciosa, cama grande y muy cómoda. el personal muy amable. el desayuno espectacular",,9.0,2026-03-08,fabuloso
barceló valencia,suiza,,1,pareja,excepcional,una limpieza impecable y el trato del personal de la recepción excepcional,,10.0,2026-03-02,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,super,la habitación muy bonita y cómoda,,9.0,2026-03-01,fabuloso
barceló valencia,españa,,1,persona que viaja sola,fabuloso,"muy buena localización, buen lugar.",nada que destacar,10.0,2026-02-19,fabuloso
barceló valencia,argentina,,2,pareja,"acogedor, agradable, relajado.",excelente instalaciones. la vista desde nuestra habitación espectacular ya que nos permitía ver la ciudad de las artes.,"un detalle, el agua de la ducha de manera muy intermitente salía fría.",10.0,2026-02-03,fabuloso
barceló valencia,españa,,1,grupo,fantástico,ubicación excelente...tuvimos un pequeño problema y no lo arreglaron momento almuerzo muy bueno cara feliz con ojos sonrientes,todo muy bien señal de aprobación con la mano,10.0,2026-02-02,fabuloso
barceló valencia,colombia,,2,pareja,excepcional,desayuno muy completo y con muy buena atenciòn.,en general todo me gustò.,9.0,2026-01-14,fabuloso
barceló valencia,españa,,1,pareja,genial,"la situación, la comodidad, y el personal.",las almohadas eran bastante blandas para mi gusto.,10.0,2026-01-12,fabuloso
barceló valencia,venezuela,,3,grupo,muy buen hotel,"la ubicación, instalaciones y atención.",no hay nada que comentar.,10.0,2026-01-10,fabuloso
barceló valencia,países bajos,,1,persona que viaja sola,recomendable a todo el mundo.,"la habitación del hotel fue excelente y superó nuestras expectativas. era amplia,muy limpia y cuidadosamente preparada. la cama era muy cómoda,lo que garantizó un descanso perfecto. el baño era moderno y estaba impecable, con todas las comodidades necesarias. la habitación estaba bien insonorizada,por lo que era muy tranquila, y el aire acondicionado funcionaba perfectamente. además,todo el equipamiento estaba en muy buen estado. sin duda,una estancia muy agradable y totalmente recomendable.",no hubo ningún aspecto negativo;todo fue excelente,10.0,2026-01-09,fabuloso
barceló valencia,españa,,1,persona que viaja sola,excepcional,ser el cliente vip. ese dia,,10.0,2025-12-30,fabuloso
barceló valencia,españa,,1,pareja,maravillosa y muy confortable,de lujo todo me encanta...,,10.0,2025-12-25,fabuloso
barceló valencia,españa,,2,pareja,muy buen hotel,"la habitación muy amplia y la cama grande, ideal para personas altas. ubicación genial al lado de la ciudad de las ciencias. hay parquing de pago  unos 18 euros al dia  pero se puede aparcar bien por la zona. desayuno muy bueno y completo! hay zona de restauración alrededor del hotel."," el ascensor!  hay tres, pero hay cola para cogerlo!  hemos estado casi más de 5 minutos para poder subir o bajar! la opción de ir a pie en función del piso que te toque...",10.0,2025-12-03,fabuloso
barceló valencia,españa,,1,pareja,relajante,"amabilidad y flexibilidad del personal, la comodidad de la cama y la amplitud de la habitación",nada,10.0,2025-12-03,fabuloso
barceló valencia,españa,,1,pareja,excepcional,"el diseño, la decoración, limpieza y las increíbles vistas. sin dejar atras el personal que un 10, educados, te explican todo genial y resuelven tus dudas excelentemente.",,10.0,2025-12-02,fabuloso
barceló valencia,españa,,2,pareja,agradable pero hay que mejorar la atención y los procesos,"dar las gracias a rodrigo en recepción. fue muy amable y profesional. es muy importante como te reciben en la recepción, es empezar la estancia con confianza y lo agradeces después de un viaje largo. cenamos en el hotel y también la atención y el menú genial. hemos vuelto después de estar un tiempo sin ir porque la última vez no nos permitieron subir a la terraza y en cambio había personas jóvenes que no se alojaban como nosotros en el hotel. les recomiendo el hotel , hay bus a la playa y al centro. y caminando la ciudad de las ciencias. volveremos, ya que valencia es mi tierra maravillosa.",,9.0,2025-11-23,fabuloso
barceló valencia,españa,,2,pareja,hotel con excelentes prestaciones,ubicación y limpieza,algo caro,10.0,2025-11-10,fabuloso
barceló valencia,españa,,1,persona que viaja sola,excepcional,muy bonito,,10.0,2025-11-07,fabuloso
barceló valencia,españa,,1,persona que viaja sola,fin de semana en valencia.,la habitación personal y el desayuno todo muy bien gracias pulgar hacia arriba,,9.0,2025-11-03,fabuloso
barceló valencia,españa,,1,pareja,excepcional,"la ubicación excelente. la atención muy buena. las vistas de lujo. para corredores de media y maratón, el sitio ideal",el aseo emitía un olor desagradable,8.0,2025-10-26,fabuloso
barceló valencia,españa,,1,pareja,muy bien,habitación impecable sin ruidos,nada,9.0,2025-10-25,fabuloso
barceló valencia,perú,,4,familia,bien,desayuno excelente,tood ok,10.0,2025-10-20,fabuloso
barceló valencia,españa,,1,pareja,un hotel para repetir,la ubicación,el desayuno es bastante caro.,10.0,2025-10-19,fabuloso
barceló valencia,españa,,3,familia,un hotel de lujo,ubicación, ,10.0,2025-10-11,fabuloso
barceló valencia,españa,,1,pareja,comodidad en valencia,tuve la suerte de que me hicieron cliente vip del dia. me regalaron 2 bebidas en su espectacular terraza y ademas me dieron una habitacion mejor a la que habia contratado. me hiceron el fin de semana mas feliz. se lo agradezco enormemente!!,me gusto todo.,10.0,2025-10-02,fabuloso
barceló valencia,españa,,2,pareja,excelente,ubicación y limpieza,aire acondicionado centralizado muy fuerte,9.0,2025-09-28,fabuloso
barceló valencia,argentina,,4,pareja,bien pero puede estar mejor ya que es un hotel 5 estrellas,"exelente trató del personal ! confort de habitación ! exelente desayuno , muy practica la ubicación",,10.0,2025-09-16,fabuloso
barceló valencia,españa,,1,pareja,cómoda,las vistas,nos gustó todo,10.0,2025-09-08,fabuloso
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,3,familia,excepcional,las habitaciones muy grandes y cómodas.todo muy limpio. el buffet muy completo .además coincidió el viaje con la fecha de mi cumpleaños y han tenido el detalle de felicitarme y dejarme una pequeña sorpresa en la habitación muy contenta con la estancia!,,10.0,2025-09-07,fabuloso
barceló valencia,españa,,1,pareja,buena estancia,"muy buen hotel para disfrutar en valencia, sobre todo por la zona de la ciudad de las ciencias. muy cómodo y limpio. que tenga parking es un plus.",,9.0,2025-09-01,fabuloso
barceló valencia,españa,,2,pareja,buenas habitaciones,"muy buena vista y muy comoda la habitacion, no subimos a su mirador y no desayunamos por lo tanto no puedo opinar al respecto",,9.0,2025-08-28,fabuloso
barceló valencia,venezuela,,2,familia,fantástico,todo excelente,,10.0,2025-08-19,fabuloso
barceló valencia,españa,,2,pareja,excepcional,"atención agradable, habitación muy cómoda y desayuno espectacular.",un poco incómodo el parking,10.0,2025-08-18,fabuloso
barceló valencia,españa,,2,pareja,genial para viaje de negocios,"buena ubicación, amplia habitación, cama king size, muy cómoda. fabuloso aire acondicionado","el parking es tan estrecho que preferimos aparcar en la calle. el baño está  integrado  en la habitación, sin una puerta normal y con una pared de cristal que hace que si enciendes la luz para usarlo por la noche, moleste. debería haber un ascensor exclusivo para el rooftop. por las tardes es muy difícil coger el ascensor para subir-bajar a las habitaciones. siempre están llenos de gente que va a la azotea. tuvimos que bajar andando por las escaleras",8.0,2025-08-17,fabuloso
