nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
Barceló Valencia,Colombia,,2,familia,Espectacular,Espectacular todo! Restaurante; servicio; habitación tamaño todooooo 10 de 10 volvería mil veces más,Todo me gustó,10.0,2026-04-14,Fabuloso
Barceló Valencia,España,,1,pareja,Muy bien,,,9.0,2026-04-05,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,familia,Fantástico,"Habitaciones amplias, limpieza y ubicación",,9.0,2026-04-03,Fabuloso
Barceló Valencia,España,,1,pareja,Todo perfecto,El trato en recepción,El parking,10.0,2026-03-21,Fabuloso
Barceló Valencia,España,,2,pareja,Una Nit del foc inolvidable.,Las vistas y el tamaño de la habitación.,"La calefacción central, sólo eso.",10.0,2026-03-20,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,Me encantó,Todo súper bien,10.0,2026-03-17,Fabuloso
Barceló Valencia,España,,1,Persona que viaja sola,Extraordinario,Todo,Nada,10.0,2026-03-16,Fabuloso
Barceló Valencia,España,,1,pareja,Espectacular,"Nos encantó la habitación super espaciosa, cama grande y muy cómoda. El personal muy amable. El desayuno espectacular",,9.0,2026-03-08,Fabuloso
Barceló Valencia,Suiza,,1,pareja,Magnífica,Una limpieza impecable y el trato del personal de la recepción excepcional,,10.0,2026-03-02,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,grupo,Fantástico,La habitación muy bonita y cómoda,,9.0,2026-03-01,Fabuloso
Barceló Valencia,España,,1,Persona que viaja sola,Muy buen hotel.,"Muy buena localización, buen lugar.",Nada que destacar,10.0,2026-02-19,Fabuloso
Barceló Valencia,Argentina,,2,pareja,Agradable estadía en Barceló,Excelente instalaciones. La vista desde nuestra habitación espectacular ya que nos permitía ver la ciudad de las artes.,"Un detalle, el agua de la ducha de manera muy intermitente salía fría.",10.0,2026-02-03,Fabuloso
Barceló Valencia,España,,1,grupo,Excepcional,"Ubicación excelente...tuvimos un pequeño problema y no lo arreglaron momento
Almuerzo muy bueno 😊",Todo muy bien 👌,10.0,2026-02-02,Fabuloso
Barceló Valencia,Colombia,,2,pareja,Excelente estancia. Pra volver una vez màs.,Desayuno muy completo y con muy buena atenciòn.,En general todo me gustò.,9.0,2026-01-14,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,"La situación, la comodidad, y el personal.",Las almohadas eran bastante blandas para mi gusto.,10.0,2026-01-12,Fabuloso
Barceló Valencia,Venezuela,,3,grupo,Excepcional,"La ubicación, instalaciones y atención.",No hay nada que comentar.,10.0,2026-01-10,Fabuloso
Barceló Valencia,Países Bajos,,1,Persona que viaja sola,Mi estancia en el hotel fue excelente. El hotel es magnífico y supera las expectativas,"La habitación del hotel fue excelente y superó nuestras expectativas.
Era amplia,muy limpia y cuidadosamente preparada. La cama era muy cómoda,lo que garantizó un descanso perfecto.
El baño era moderno y estaba impecable, con todas las comodidades necesarias.
La habitación estaba bien insonorizada,por lo que era muy tranquila, y el aire acondicionado funcionaba perfectamente.
Además,todo el equipamiento estaba en muy buen estado. Sin duda,una estancia muy agradable y totalmente recomendable.",No hubo ningún aspecto negativo;todo fue excelente,10.0,2026-01-09,Fabuloso
Barceló Valencia,España,,1,Persona que viaja sola,Excepcional,Ser el cliente VIP. Ese dia,,10.0,2025-12-30,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,De lujo todo me encanta...,,10.0,2025-12-25,Fabuloso
Barceló Valencia,España,,2,pareja,Perfecta!,"La habitación muy amplia y la cama grande, ideal para personas altas. Ubicación genial al lado de la Ciudad de las Ciencias. Hay parquing de pago (unos 18 euros al dia) pero se puede aparcar bien por la zona. Desayuno muy bueno y completo!
Hay zona de restauración alrededor del hotel.","¡El ascensor! ¡Hay tres, pero hay cola para cogerlo! ¡Hemos estado casi más de 5 minutos para poder subir o bajar! La opción de ir a pie en función del piso que te toque...",10.0,2025-12-03,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,"Amabilidad y flexibilidad del personal, la comodidad de la cama y la amplitud de la habitación",Nada,10.0,2025-12-03,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,"El diseño, la decoración, limpieza y las increíbles vistas.
Sin dejar atras el personal que un 10, educados, te explican todo genial y resuelven tus dudas excelentemente.",,10.0,2025-12-02,Fabuloso
Barceló Valencia,España,,2,pareja,Fantástico,"Dar las gracias a Rodrigo en recepción. Fue muy amable y profesional. Es muy importante como te reciben en la recepción, es empezar la estancia con confianza y lo agradeces después de un viaje largo. 
Cenamos en el hotel y también la atención y el menú genial.
Hemos vuelto después de estar un tiempo sin ir porque la última vez no nos permitieron subir a la terraza y en cambio había personas jóvenes que no se alojaban como nosotros en el hotel. 
Les recomiendo el hotel , hay bus a la playa y al centro. Y caminando la Ciudad de las Ciencias.  Volveremos, ya que Valencia es mi tierra maravillosa.",,9.0,2025-11-23,Fabuloso
Barceló Valencia,España,,2,pareja,Excepcional,Ubicación y limpieza,Algo caro,10.0,2025-11-10,Fabuloso
Barceló Valencia,España,,1,Persona que viaja sola,Excepcional,Muy bonito,,10.0,2025-11-07,Fabuloso
Barceló Valencia,España,,1,Persona que viaja sola,Fantástico,LA HABITACIÓN PERSONAL Y EL DESAYUNO TODO MUY BIEN GRACIAS 👍,,9.0,2025-11-03,Fabuloso
Barceló Valencia,España,,1,pareja,Recomendable,"La ubicación excelente. La atención muy buena. 
Las vistas de lujo. Para corredores de media y maratón, el sitio ideal",El aseo emitía un olor desagradable,8.0,2025-10-26,Fabuloso
Barceló Valencia,España,,1,pareja,Noche de bodas espectacular,Habitación impecable sin ruidos,Nada,9.0,2025-10-25,Fabuloso
Barceló Valencia,Perú,,4,familia,"confort ,relax ,seguridad",desayuno excelente,tood ok,10.0,2025-10-20,Fabuloso
Barceló Valencia,España,,1,pareja,Excepcional,La ubicación,El desayuno es bastante caro.,10.0,2025-10-19,Fabuloso
Barceló Valencia,España,,3,familia,Excepcional,Ubicación,—,10.0,2025-10-11,Fabuloso
Barceló Valencia,España,,1,pareja,Maravilloso,Tuve la suerte de que me hicieron cliente VIP del dia. Me regalaron 2 bebidas en su espectacular terraza y ademas me dieron una habitacion mejor a la que habia contratado. Me hiceron el fin de semana mas feliz. Se lo agradezco enormemente!!,me gusto todo.,10.0,2025-10-02,Fabuloso
Barceló Valencia,España,,2,pareja,Fin de semana valencia,Ubicación y limpieza,Aire acondicionado centralizado muy fuerte,9.0,2025-09-28,Fabuloso
Barceló Valencia,Argentina,,4,pareja,todo exelente,"exelente trató del personal ! confort de habitación ! exelente desayuno , muy practica la ubicación",,10.0,2025-09-16,Fabuloso
Barceló Valencia,España,,1,pareja,Noche de bodas,Las vistas,Nos gustó todo,10.0,2025-09-08,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,3,familia,Todo fantástico,Las habitaciones muy grandes y cómodas.Todo muy limpio. El buffet  muy completo .Además coincidió el viaje con la fecha de mi cumpleaños y han tenido el detalle de felicitarme y dejarme una pequeña sorpresa en la habitación…muy contenta con la estancia!,,10.0,2025-09-07,Fabuloso
Barceló Valencia,España,,1,pareja,Hotel de referencia en Valencia,"Muy buen hotel para disfrutar en Valencia, sobre todo por la zona de la ciudad de las ciencias. Muy cómodo y limpio. Que tenga parking es un plus.",,9.0,2025-09-01,Fabuloso
Barceló Valencia,España,,2,pareja,Fantástico,"MUY BUENA VISTA Y MUY COMODA LA HABITACION, NO SUBIMOS A SU MIRADOR Y NO DESAYUNAMOS POR LO TANTO NO PUEDO OPINAR AL RESPECTO",,9.0,2025-08-28,Fabuloso
Barceló Valencia,Venezuela,,2,familia,Excelente,Todo excelente,,10.0,2025-08-19,Fabuloso
Barceló Valencia,España,,2,pareja,"Excelente estancia, repito sin objeciones","Atención agradable, habitación muy cómoda y desayuno espectacular.",Un poco incómodo el parking,10.0,2025-08-18,Fabuloso
Barceló Valencia,España,,2,pareja,"Excelente tamaño de la habitación, aire acondicionado y cama muy cómoda.","Buena ubicación, amplia habitación, cama king size, muy cómoda. Fabuloso aire acondicionado","El Parking es tan estrecho que preferimos aparcar en la calle. El baño está “integrado” en la habitación, sin una puerta normal y con una pared de cristal que hace que si enciendes la luz para usarlo por la noche, moleste.
Debería haber un ascensor exclusivo para el rooftop. Por las tardes es muy difícil coger el ascensor para subir-bajar a las habitaciones. Siempre están llenos de gente que va a la azotea. Tuvimos que bajar andando por las escaleras",8.0,2025-08-17,Fabuloso
Barceló Valencia,Argentina,,3,pareja,Casi cumple con todo lo que buscábamos,"Ubicación! Limpieza, desayuno",Piscina diminuta! Gimnasio pequeño!,8.0,2025-08-14,Fabuloso
Barceló Valencia,España,,2,familia,"Muy bien, con matices","La habitación doble superior muy bien , la cercanía al océanografic, el desayuno inmejorable","La habitación triple no lo es, es una doble con tres camas
Lo lejos que está del centro",9.0,2025-08-12,Fabuloso
Barceló Valencia,Argentina,,1,grupo,Muy recomendable,Todo,Un poco amargado el personal de recepción de la terraza. 30’ antes del cierre ya no dejaba subir a mirar,10.0,2025-08-08,Fabuloso
Barceló Valencia,España,,2,pareja,Excepcional,"La limpieza de las habitaciones, lo grande que era y cómoda. La ubicación y el desayuno",,10.0,2025-08-07,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,familia,Excepcional,Increíble. Todo perfecto. En el personal había un chico llamado Rodrigo que fue súper amable. El resto del personal muy bien también. Las instalaciones son estupendas,La piscina es muy muy pequeña.,10.0,2025-08-05,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,familia,Fantástico,Las habitaciones comunicadas,No funcionaba Foscurit. La piscina muy pequeña,10.0,2025-08-03,Fabuloso
Barceló Valencia,España,,3,familia,El desayuno: UNA MARAVILLA..😊,"La ubicación era muy buena para visitar el oceanografic (está muy cerca).
La habitación muy limpia y las camas muy cómodas.
El personal muy atento y amable.
Y el 10 de 10 fue el desayuno…una MARAVILLA! Era muy, muy variado y hasta te hacían los huevos revueltos o la tortilla en el momento. 🥰","El gimnasio es un poco pequeño, aunque nunca coincidí con demasiada gente. Solo tiene una cinta de correr, una elíptica y una bici estática y están un poco estropeadas del tiempo. Eso sí, las mancuernas, esterillas, etc..muy completas.",10.0,2025-08-02,Fabuloso
Barceló Valencia,España,,1,pareja,Estupendo,"Todo en general, el hotel moderno, el personal de recepción, la habitación, el que me complacieran en darme un piso alto y con unas vistas al oceanográfico increíbles.
El aire acondicionado que tenían en estás fechas, maravilloso, que entrabas en el hotel y era como respirar.
Y una terraza en el último piso increíble.","Quizás diría, que lo que me sorprendió, fue la piscina, era muy pequeña para el hotel tan grande, de hecho  cuando la vi, pensé que era un jacuzzi.",10.0,2025-07-20,Fabuloso
Barceló Valencia,España,,1,familia,Excelente ubicación,Ubicación y servicios,Desayuno mejorable,8.0,2025-07-20,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,grupo,Muy buen hotel,,Todavía estoy esperando recibir la factura que pedí y que prometieron enviarme,9.0,2025-07-12,Fabuloso
Barceló Valencia,España,,3,pareja,Muy agradecido,Todo el personal muy agradable y hace la estancia más amena,Calidad precio y la atención al cliente,10.0,2025-07-02,Fabuloso
Barceló Valencia,Chile,,2,pareja,Lindo y con excelente ubicación y conexión,"Era muy bella la habitación, la ubicación muy buena, excelente conectividad con transporte público, rodeado de varios restaurantes a una cuadra de una disco de salsa hermosa para salir de fiesta",No me gustó la piscina,10.0,2025-07-01,Fabuloso
Barceló Valencia,España,,2,familia,Muy bien 👍,Todo,Nada,10.0,2025-07-01,Fabuloso
Barceló Valencia,España,,1,pareja,Muy bien,todo bien,no me gusto el cobro por el parking,8.0,2025-06-23,Fabuloso
Barceló Valencia,España,,2,grupo,Excepcional,El desayuno era impresionante. El personal muy amable y eficiente. Tuvimos una avería en nuestra habitación y lo solucionaron rápido y de la mejor forma posible.,,10.0,2025-06-23,Fabuloso
Barceló Valencia,España,,1,familia,Excepcional,Todo la terraza y las vistas hermosas .,,10.0,2025-06-20,Fabuloso
Barceló Valencia,España,,3,pareja,Muy bien,"Las instalaciones están muy bien y la cafetería está abierta en el horario de desayuno, que para mí que sólo me tomo un café me parece un lujo.",Nada,8.0,2025-06-18,Fabuloso
Barceló Valencia,España,,2,pareja,Excepcional,El desayuno y la ubicación han sido lo mejor.,"Tal vez mejoraría la limpieza, estaba bien, pero es mejorable.",10.0,2025-06-16,Fabuloso
Barceló Valencia,Argentina,,3,pareja,Todo de excelencia,"Excelente todo. La atención del personal, especialmente de Patricia en recepción. Limpio y perfecta ubicación.",,10.0,2025-06-12,Fabuloso
Barceló Valencia,España,,1,pareja,Genial,"La ubicación.
La limpieza.
La amabilidad de los empleados.",Que las servilletas del restaurante fueran de papel.,10.0,2025-06-12,Fabuloso
Barceló Valencia,España,,2,pareja,Muy bien,,El personal no es agradable con el cliente.,8.0,2025-06-10,Fabuloso
Barceló Valencia,España,2 habitaciones Dobles Deluxe comunicadas,1,grupo,Cómoda y confortable,"Ubicación excelente
Desayuno no utilizamos
Habitación excelente",,10.0,2025-06-05,Fabuloso
Barceló Valencia,Argentina,,2,pareja,Súper recomendable! Volveríamos!!,Nos encantó! Habitación grande y moderna. Desayuno de 5 estrellas o más! Personal agradable. Muy recomendable,Nos gustó todo. A modo de empatía creemos que tendrian que darle butacas a seguridad y recepción. Es una observación humana que hemos hecho.,10.0,2025-06-03,Fabuloso
Barceló Valencia,España,,1,grupo,Fantástico,Todo,El olor a tuberías y no tener agua fría ducha,9.0,2025-06-02,Fabuloso
Barceló Valencia,España,,2,pareja,Excepcional,El hotel es excelente y las habitaciones muy cómodas. Tiene una terraza con piscina donde se puede tomar el sol o tomar algo tranquilamente. El personal es muy amable y profesional.,,10.0,2025-06-01,Fabuloso
Barceló Valencia,Colombia,,2,pareja,Fantástico,"Excelente servicio, las instalaciones limpias,  muy buena ubicación",,9.0,2025-05-25,Fabuloso
Barceló Valencia,Estados Unidos,,2,pareja,Muy buena,"Desayuno excelente , buena ubicación",Un poco de ruido de la calle en la habitación,10.0,2025-05-22,Fabuloso
Barceló Valencia,España,,1,familia,Excepcional,"Desayuno, terraza y ubicación",Nada,10.0,2025-05-12,Fabuloso
