nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel
casual del cine valencia by casual hoteles,españa,habitación doble interior económica,2,pareja,muy bien,"ubicación, desayuno y baño.",habitación algo calurosa.,8.0,2026-04-13,muy bien
casual del cine valencia by casual hoteles,españa,habitación cuádruple,1,familia,excepcional,la ubicación,,10.0,2026-04-13,muy bien
casual del cine valencia by casual hoteles,españa,,1,grupo,agradable,la ubicación es excelente al igual que el trato del personal,no estaba del todo mal pero el bufet era un poco limitado ya que habían cosas como arroz tres delicias para desayunar y quizás faltaban otras cosas,8.0,2026-04-11,muy bien
casual del cine valencia by casual hoteles,españa,habitación doble interior económica,1,pareja,muy bien,alojamiento con situación privilegiada a buen precio,"necesita una reforma: habituación algo calurosa, la puerta de entrada golpeaba por una corriente, falta mejorar la insonorización y el baño. por lo demás, todo correcto. no probamos el desayuno.",8.0,2026-04-06,muy bien
casual del cine valencia by casual hoteles,españa,,2,persona que viaja sola,excepcional,"la habitación era preciosa, tal como la imaginaba, y la recepcionista fue amable y atenta, haciéndome sentir como en casa. sin duda volvería.",,10.0,2026-03-23,muy bien
casual del cine valencia by casual hoteles,españa,habitación doble económica - 2 camas - interior,2,pareja,"se escucha mucho ruido,por la tardes de las personas del aseo.las puertas no tienen aislante de sonido",la ubicación. la recepcionista muy amable y paciente explica todo bien. su nombre :ihssame,el ascensor.,8.0,2026-03-22,muy bien
casual del cine valencia by casual hoteles,españa,habitación doble económica - 2 camas - interior,3,pareja,excepcional,la ubicación y la atención del personal. el desayuno estupendo,,10.0,2026-03-22,muy bien
casual del cine valencia by casual hoteles,españa,habitación doble interior económica,1,pareja,excepcional,"limpieza, comodidad, ubicación....de 10",,10.0,2026-03-20,muy bien
casual del cine valencia by casual hoteles,españa,,1,grupo,excepcional,"hotel céntrico, personal super atento y amable en especial la chica de recepción, nos resolvió todas las dudas y nos aconsejo sitió donde ir.",,10.0,2026-03-19,muy bien
casual del cine valencia by casual hoteles,españa,habitación doble pequeña,2,pareja,"muy bueno, bonito y bien de precio","la habitación estaba muy bien, con balcón a la calle pero no se escuchaba ruido de fuera. el desayuno estupendo. pudimos dejar el equipaje antes de la hora de entrada al alojamiento.",,10.0,2026-03-18,muy bien
