,positivo
6,todo
17,ser el cliente vip. ese dia
24,muy bonito
34,las vistas
38,todo excelente
43,todo
53,todo
64,todo
74,todo
81,todo fenomenal
89,todo
92,me gusto esta todo limpio
96,excelente.
103,la atencion al cliente
136,todo
140,todo me gusto mucho
156,y
181,terraza
185,todo
202,barra del cielo
222,todo
237,todo ni un pero
264,comodidad
289,las sabanas tan limpias.
304,todo
308,la terraza
319,la terraza de la azotea
335,la terraza
336,terraza increíble
369,cama
371,Gran hotel y una gran terraza en la azotea.
372,"Excelente ubicación, muy buen servicio, vista perfecta desde el bar de la azotea."
373,la mejor ubicación para las fallas
374,¡La bienvenida fue excelente! ¡Nos dieron estatus vip y una mejora! Vaya manera de empezar una visita a Valencia. Nuestra suite junior era magnífica. La ubicación a pocos minutos a pie de la ciudad de las artes y las ciencias era perfecta. Aparcamos en el garaje debajo del hotel y cogimos un autobús hasta el centro de Valencia. ¿La parada de autobús está justo enfrente del hotel y el coste? ¡sólo tres euros!
375,todo
376,hotel muy bien gestionado con buen servicio y personal
377,"La mejor ubicación, excelente gerente en la recepción, excelente habitación elegante, ¡fue increíble! ¡Y el bar de la azotea estaba exactamente bien!"
378,Ubicación ideal para caminar por el parque hasta la ciudad.
380,excelente lugar para estar
381,"el servicio prestado por el personal, la amplitud de las habitaciones limpias y el amplio desayuno buffet"
382,ubicación y vistas
383,personal amable y profesional y excelentes instalaciones excelente ubicación cerca de excelentes atracciones
384,ubicación para el maratón
385,La propiedad es bonita y limpia y está cerca del museo de arte.
386,"El hotel es muy bonito, en una excelente ubicación. el personal es educado y servicial. El desayuno era delicioso con una amplia selección de comida fresca."
387,todo
388,Alto nivel: instalaciones limpias y buenas.
389,"ubicación queríamos un fácil acceso a la ópera y fácil acceso en coche. El garaje era fácil de usar. barra en la azotea. cama grande en habitación grande con buena ducha. Impresionante desayuno bufé, que incluye un puesto de comida caliente con personal humano, y en una soleada sala a pie de calle. moderno y fresco."
390,"Excelentes instalaciones, buena comida a precios razonables en el restaurante. Gran bar en la azotea con terraza y vistas."
391,"Gran tamaño, muy limpio, cálido y excelentes artículos de tocador, batas, etc."
392,"Me encantó el desayuno, la cama y las almohadas."
393,"Me encantó, gran hotel para un viaje con amigos, me encantó la piscina y el techo."
394,la espaciosa habitación la limpieza de la habitación y las instalaciones la amabilidad del personal del hotel
395,"Me he alojado aquí varias veces antes de la época precovid y el hotel ha tenido algunas actualizaciones interesantes desde mi última estancia. Habitaciones de buen tamaño con todas las comodidades que cabe esperar de un hotel a este precio. Me gusta la ubicación. Es un punto intermedio entre la zona de la playa y las atracciones de la ciudad, con el Turia y el Centro de Ciencias justo al otro lado de la calle. Siempre taxis afuera.  súper muy bueno aquí también. El bar de la azotea es una buena adición y reemplaza el lugar donde solía estar el spa. La piscina es pequeña, creo que solía ser la piscina profunda del spa. Como visitante de Valencia dos veces al año, mi experiencia es que será difícil encontrar un hotel con una piscina grande en la ciudad o cerca de ella, y ciertamente no a este precio. Si desea una zona de piscina grande, busque un hotel frente a la playa al doble del precio."
396,"Excelente ubicación cerca de todo lo que necesitaba, me sentí muy seguro, con una agradable cafetería al otro lado de la calle y autobuses cerca."
397,Excelente opción en oferta. Hotel céntricamente situado entre el casco antiguo de la ciudad y la playa. Buena selección de restaurantes cerca del hotel. centros comerciales a 10 min caminando.
398,"Excelente ubicación al lado del parque para explorar diferentes áreas. gran desayuno bufé. La habitación era buena y la pequeña piscina en la azotea era agradable, aunque un poco difícil de encontrar."
399,"Desayuno increíble, personal super amable, las camas son las más cómodas que he tenido en un hotel, muy buena ubicación, definitivamente regresaría."
400,"Hermoso hotel, ubicación perfecta y excelente desayuno."
401,ubicación del hotel y vista hacia el parque científico
402,"El desayuno era muy bueno, con muchas opciones. La ubicación estaba bien, un corto trayecto en autobús hasta el centro o la playa."
403,"Excelente ubicación cerca del oceanográfico y de la ciudad de las artes y las ciencias, muy lindas habitaciones con vista a la ciudad. personal agradable"
404,lugar para las artes. Hay paradas de autobús cercanas para llegar al casco antiguo. excelente desayuno. gran terraza en la azotea.
405,La vista era excepcional. El personal fue muy servicial y proporcionó buena información. bar en la azotea excelentes bebidas y vistas. Buena ubicación para visitar la ciudad o la playa y otras atracciones. gran estancia.
406,área de la azotea
407,"habitación grande, bonita y limpia"
408,"Excelente ubicación, en medio de todo. Las instalaciones eran fantásticas."
409,gran comodidad. Servicio al cliente perfecto: equipo perfecto de recepcionistas y restaurante de desayuno. sabrosos desayunos. Equipamiento de la habitación nuevo y fresco. Excelente vista desde las habitaciones y perfecta localización.
410,todo. verdaderamente excepcional.
411,el hotel es muy bonito en una buena ubicación y muy limpio
413,personal
414,"Las habitaciones estaban limpias, eran espaciosas y realmente cómodas. La ubicación era un buen punto medio entre la playa y el casco antiguo, y si no te apetece caminar, hay una parada de autobús justo afuera del hotel. Conseguimos la tarjeta Valencia, pero puedes usar tu tarjeta bancaria para pagar 2 por viaje. Ubicación perfecta para cualquiera que visite el complejo de ciencias y artes."
415,"Excelente hotel limpio, personal súper amable y servicial, ubicación cerca del oceanográfico, tuvimos la estadía perfecta."
416,carga gratuita de vehículos eléctricos
417,"maravillosa propiedad moderna justo al lado de la ciudad de las artes y las ciencias. Las habitaciones son modernas y muy cómodas y teníamos una habitación comunicada para los niños que era enorme. delicioso desayuno con gran selección. El bar de la azotea era agradable y había una piscina en la azotea, aunque más bien una piscina profunda. un corto trayecto en autobús hasta el casco antiguo. Aparcamiento subterráneo también."
418,gran estancia
419,preciosas habitaciones y fantástico desayuno.
420,buena ubicación
421,excelente
422,"Buen desayuno, pero podría servir chocolate caliente con los turros. buena elección."
423,"todo fue perfecto para nosotros. Habitación limpia y espaciosa, el funcionamiento del aire acondicionado era perfecto y el personal era servicial. Había una gran variedad de desayuno que estaba delicioso. buena ubicación: cerca de la ciudad de las artes y las ciencias, parada de autobús al lado del hotel, centro comercial aqua y el corte inglés a poca distancia, buenos restaurantes en el barrio."
424,Su situación era ideal para nuestro objetivo. La parada de taxis justo afuera de la puerta fue de gran ayuda. La habitación era lo suficientemente grande como para acomodar la silla de ruedas de mi esposo con facilidad.
425,"Ubicación perfecta, hermosas vistas, fácil acceso a sitios turísticos y transporte público. El personal fue fantástico, muy amable y el hotel tenía todas las instalaciones que necesitábamos. El bar de la azotea también es muy agradable. En general, fue una experiencia encantadora."
426,"La ubicación es estupenda, cerca de estaciones de autobuses que te llevan a la playa o al centro de la ciudad. También estás a 5 min de la ciudad de las artes. Nuestra habitación era grande y limpia, con el típico baño español donde se podía ver a través del cristal. Tuvimos servicios de limpieza todos los días, una pequeña piscina en la azotea y un bar 270 con excelentes vistas. Tenía miedo de que la cama estuviera áspera y no pudiéramos dormir, pero no temas más, dormimos mejor que nunca. El paquete de bienvenida te ofrece muchas toallas, cepillo y pasta de dientes, agua, café y té. Cenamos y desayunamos y tenían excelentes opciones para ambos. No usamos coche porque teníamos la tarjeta de autobús, pero había aparcamiento cerca."
427,"¡Qué gran vista del parque y su arquitectura! Buena ubicación, pero el gran ventanal con esa vista es el dorado."
428,estupendas vistas. terraza para tomar el sol. habitaciones bien equipadas. camas cómodas.
429,"habitación espaciosa, linda vista desde la habitación, excelente ubicación"
430,muy limpio cómodo en excelente ubicación
431,desayuno y bar en la azotea
432,"ubicación, servicios, bar en la azotea, limpieza de la habitación, tranquilidad, paella"
434,El hotel fue fantástico y realmente hicieron que mi estancia fuera especial. No puedo elogiarlos lo suficiente. gracias
435,"Excelente ubicación con vistas al complejo del centro de ciencias del Palacio de las Artes, con un encantador paseo hacia el casco antiguo a través del parque del río o un práctico servicio de autobús justo afuera del hotel. estupendos desayunos."
436,ubicación
437,2da visita todo fue genial
438,"Excelente ubicación para ciudad de las artes y las ciencias. Camas muy cómodas y buena variedad en el desayuno. Teníamos la suite y tenía dos baños, lo cual fue muy útil."
439,fabuloso hotel excelente ubicación. Obtuve una actualización gratuita que fue una agradable sorpresa.
440,Fantásticas vistas desde la habitación y el bar de la azotea. El personal fue muy servicial y educado. ubicación fantástica.
442,"Gran vista con vistas a la arquitectura moderna. Precioso paseo por el antiguo parque fluvial hasta llegar a la ciudad vieja. el bar de la terraza era genial. Mi habitación era preciosa, espaciosa y cómoda."
443,personal amable y servicial en recepción
444,"Hotel muy bonito, a poca distancia de la ciudad de les arts i les ciències y del oceanográfico, a 10 minutos a pie a través de un impresionante complejo arquitectónico y cultural y un parque. Estuvimos allí durante la escasez de energía en España, pero el jefe de recepción y todo el resto del personal fueron muy amables y nos contaron qué estaba pasando. También nos proporcionan sándwiches y bebidas complementarios para nuestra hija porque todo, incluidos todos los mercados y restaurantes, estaban cerrados debido a la escasez de energía. las habitaciones son espaciosas y muy limpias. La cama king size es grande, cómoda y ofrece un excelente descanso después de un día completo de caminatas, hicimos 25,000 pasos por día. Bar excepcional en la azotea, pero la piscina estaba cerrada. Anoche cenamos en el restaurante del hotel Senyoret y toda la comida estuvo deliciosa, pedimos paella de verduras para 2 personas y filete de ternera. Además, el desayuno fue excelente, con una variedad de platos diferentes, salamis, huevos, fruta, pasteles, etc. Tienes un autobús público afuera del hotel, línea 19 cada 10 minutos hasta el centro histórico, estación norte, desde donde puedes caminar por toda la ciudad."
445,"muy buena ubicación, bici compartida cercana, parada de autobús, parque del turia, museos. Todavía se puede ir andando al centro de la ciudad. La habitación con vistas tenía una vista realmente hermosa. El bar de la azotea era muy bueno, un poco triste porque el clima no era tan bueno, pero aún así estaba bien. Es un poco caro, pero está bien por las vistas de la ubicación. La habitación estaba bien, la limpiaban todos los días. El personal fue muy agradable. El desayuno tiene una amplia selección de alimentos y bebidas, un personal siempre agradable y un lindo robot. sabroso en general. Es bueno llegar a las 9:30, antes de la hora punta."
446,la ubicación m
447,habitación bien equipada y buenas instalaciones
448,"buena ubicación para el acuario, etc. agradable paseo hasta el centro de la ciudad a través del parque. Necesitaba un taxi por la noche. Gran bar en la azotea con vistas. Sin embargo, eso estuvo ocupado con no invitados el fin de semana. Teníamos una suite que estaba bien con el espacio extra."
449,Perfecta ubicación y limpieza.
450,"Conseguimos mucho, todo fue genial."
451,Ubicación ideal para centro de ciencias y transporte al casco antiguo y a la playa.
452,"estancia absolutamente fantástica en este hotel. El personal es magnífico y extremadamente acogedor y amable, sin demasiados problemas. Muy limpio y con maravillosas instalaciones y la vista desde nuestra habitación era muy buena con vistas a la ciudad de las artes y las ciencias. El mejor consejo: añade el desayuno el día anterior y ahorra algo de dinero."
453,"vista, interior de la habitación, bar en la azotea, servicio"
454,El personal era muy amable y el desayuno excelente.
455,"bonito y moderno. Excelente ubicación cerca del acuario, etc."
456,"hermoso hotel; Mejor ubicación entre el centro histórico y la playa, en la ciudad de las artes y las ciencias. el bar de la azotea ofrece una hermosa vista de valencia. El desayuno es excepcional con una elección nunca experimentada en ningún otro lugar. las habitaciones son muy cómodas. El personal muy amable y un agradecimiento personal a Marisa en el restaurante de desayuno por su amabilidad. ¡Pronto volveré!"
457,"El hotel está muy bien ubicado, cerca de las artes y las ciencias, el autobús pasa justo afuera del hotel para ir a la parte histórica de la ciudad. las camas eran súper cómodas y el desayuno era delicioso y con muchas opciones."
