,comentario_general
4,una nit del foc inolvidable.
5,excepcional
6,extraordinario
8,magnífica
12,excepcional
13,excelente estancia. pra volver una vez màs.
14,excepcional
15,excepcional
17,excepcional
18,excepcional
19,perfecta!
20,excepcional
21,excepcional
23,excepcional
24,excepcional
28,"confort ,relax ,seguridad"
29,excepcional
30,excepcional
32,fin de semana valencia
33,todo exelente
35,todo fantástico
38,excelente
44,excepcional
45,excepcional
55,excepcional
56,excepcional
58,excepcional
59,todo de excelencia
60,genial
65,excepcional
68,excepcional
71,Valencia
73,excepcional
75,excepcional
78,excelente
80,excepcional
81,excepcional
83,excepcional
84,estancia valencia
88,excepcional
92,excepcional
96,excelente estancia.
99,excelente hotel
103,excepcional
104,excepcional
105,excepcional
106,inolvidable
111,excelente
112,excepcional
114,excepcional
117,excelente
121,excepcional
122,excepcional
123,excepcional
126,súper estancia en valencia.
133,genial
137,excepcional
138,linda azotea
140,excepcional
144,excepcional
150,volveria
153,maravillosa
156,volveremos
158,excelente
160,genial
163,excepcional
170,excelente
171,maravillosa
172,excepcional
177,superó mis expectativas
179,excepcional
180,excepcional
182,excepcional
185,excelente
189,excelente ubicación para visitar la ciudad de las artes y las ciencias
190,perfecto
192,comodidad total
195,la mejor
196,excepcional
197,excepcional
198,excepcional
199,excepcional
202,excepcional
205,perfecto
207,excepcional
210,excepcional
211,excepcional
212,excepcional
213,excepcional
215,buen hotel
217,excepcional
218,excepcional
219,excepcional
221,Fantástico
223,excelente
225,excepcional
226,excepcional
229,muy agusto
233,excelente
235,noche de opera sin correr
236,para repetir
237,excepcional
249,excelente
251,acogedor
254,excelente
256,BIEN
257,estancia para repetir
264,BIEN
269,excepcional
271,hotel increíble!!! hotel increible!!!
272,bueno
281,excepcional
283,"valencia, que maravilla de sitio"
285,Guay
290,sin comentarios
307,excepcional
312,BIEN
313,buen hotel
317,BIEN
318,recomendado
319,"normal, sin pretensiones"
320,regular
321,aceptable
325,una grata sorpresa.
326,BIEN
329,comodidad
339,BIEN
340,aceptable
341,BIEN
344,agradable pero mejorable.
347,necesita reformas
350,aceptable
352,BIEN
353,BIEN
354,aceptable
355,BIEN
356,aceptable
359,para no volver
360,BIEN
361,BIEN
365,BIEN
369,normal
370,excepcional
372,excepcional
373,Excelente apartamento y la mejor vista de la azotea para los fuegos artificiales de las Fallas.
374,absolutamente magnífico!
375,excepcional
377,hotel perfecto para conocer valencia
378,un acogedor hotel céntrico y moderno
379,"Volveremos, gran lugar para quedarse."
380,gran hotel bien ubicado
381,"Estancia encantadora en una buena ubicación en una habitación hermosa y limpia, personal amable y un amplio desayuno buffet."
382,¡He estado yendo al Barceló Valencia alrededor de las 17 de vez en cuando con mi hija pequeña! no tan joven ahora pero siempre
383,gran experiencia buena relación calidad-precio
384,buena relación calidad-precio
386,Bonito hotel en excelente ubicación con vistas impresionantes.
387,"hermoso hotel, excelente ubicación."
388,gran estancia - disfrutada
389,"Muy bonito hotel moderno con buen servicio, excelente desayuno y fabuloso acceso a la ciudad de las artes y las ciencias."
390,"Excelente hotel, con un buen restaurante a un precio razonable y un fantástico bar panorámico en la azotea."
391,excepcional
392,"Me encantó el hotel, la ubicación, las vistas y las tiendas cercanas."
393,"Me encantó, gran hotel para un viaje con amigos, me encantó la piscina y el techo."
394,un lugar cálido y acogedor bien situado
395,genial para una escapada de fin de semana....
396,ubicación básica pero conveniente
397,"excelente para una escapada a la ciudad, cerca de restaurantes y tiendas y frente al parque"
398,"Hotel moderno, limpio y confortable al lado del parque."
399,maravilloso ambiente relajado.
400,"Hermoso hotel con excelente desayuno, ubicación perfecta, bar en la azotea."
402,Muy buen hotel en una buena ubicación para visitar tanto la ciudad como la playa.
403,"muy buen hotel, excelente ubicación, personal amable"
404,excelente ubicación.
406,buenos restaurantes gente muy agradable y agradable y personal del hotel
407,buena ubicación para días de trabajo combinada con un ambiente agradable
408,excepcional
409,excelente hotel - super comodidad
410,fantástico hotel
411,muy buen hotel lo recomiendo
413,"Muy bueno, como siempre de barceló."
414,gran hotel y ubicación
415,excepcional
416,impresionante
417,Excelente hotel moderno al lado de la ciudad de las artes.
419,Super hotel en una excelente ubicación con un personal amable y servicial.
421,lugar donde te sientes muy cómodo
422,muy cómodo con un personal amable.
423,todo fue perfecto para nosotros.
424,Una experiencia muy agradable y que bien podemos repetir. gracias
425,excelente hotel en una ubicación perfecta
426,increíble elección de hotel
428,Hotel confortable y bien ubicado con bar en la azotea.
429,bonito hotel en excelente ubicación
